,long_lat,population,geo,Long,Lat
0,"(-104.876, 39.704)",860,False,-104.876,39.704
2,"(-104.911, 39.635)",708,False,-104.911,39.635
3,"(-104.894, 39.629)",685,False,-104.894,39.629
4,"(-105.08, 39.635)",655,False,-105.08,39.635
6,"(-105.001, 39.755)",445,False,-105.001,39.755
7,"(-104.906, 39.655)",406,False,-104.906,39.655
10,"(-105.002, 39.756)",383,False,-105.002,39.756
14,"(-104.972, 39.708)",348,False,-104.972,39.708
15,"(-104.948, 39.717)",344,False,-104.948,39.717
17,"(-104.906, 39.625)",327,False,-104.906,39.625
19,"(-104.974, 39.716)",303,False,-104.974,39.716
21,"(-104.975, 39.716)",303,False,-104.975,39.716
23,"(-105.001, 39.753)",294,False,-105.001,39.753
25,"(-105.093, 39.629)",283,False,-105.093,39.629
26,"(-104.984, 39.75)",281,False,-104.984,39.75
28,"(-104.91, 39.628)",273,False,-104.91,39.628
32,"(-104.979, 39.729)",264,False,-104.979,39.729
34,"(-105.002, 39.755)",262,False,-105.002,39.755
35,"(-104.987, 39.698)",261,False,-104.987,39.698
36,"(-104.992, 39.755)",261,False,-104.992,39.755
38,"(-104.988, 39.764)",257,False,-104.988,39.764
39,"(-105.055, 39.65)",256,False,-105.055,39.65
45,"(-105.004, 39.752)",231,False,-105.004,39.752
46,"(-105.002, 39.754)",230,False,-105.002,39.754
47,"(-104.939, 39.733)",227,False,-104.939,39.733
48,"(-104.959, 39.678)",225,False,-104.959,39.678
52,"(-104.98, 39.72)",221,False,-104.98,39.72
53,"(-104.92, 39.676)",221,False,-104.92,39.676
54,"(-104.931, 39.732)",220,False,-104.931,39.732
55,"(-104.99, 39.754)",219,False,-104.99,39.754
56,"(-104.978, 39.729)",218,False,-104.978,39.729
57,"(-104.942, 39.713)",218,False,-104.942,39.713
58,"(-104.989, 39.763)",218,False,-104.989,39.763
61,"(-104.999, 39.76)",215,False,-104.999,39.76
68,"(-104.999, 39.759)",204,False,-104.999,39.759
69,"(-104.94, 39.732)",204,False,-104.94,39.732
71,"(-104.98, 39.748)",204,False,-104.98,39.748
73,"(-104.908, 39.628)",202,False,-104.908,39.628
74,"(-104.985, 39.766)",201,False,-104.985,39.766
77,"(-105.003, 39.758)",197,False,-105.003,39.758
80,"(-104.896, 39.654)",194,False,-104.896,39.654
82,"(-104.88, 39.702)",191,False,-104.88,39.702
83,"(-104.88, 39.703)",190,False,-104.88,39.703
84,"(-105.004, 39.757)",189,False,-105.004,39.757
85,"(-104.987, 39.749)",188,False,-104.987,39.749
86,"(-104.957, 39.666)",186,False,-104.957,39.666
87,"(-104.982, 39.751)",185,False,-104.982,39.751
89,"(-104.877, 39.707)",183,False,-104.877,39.707
90,"(-104.884, 39.704)",183,False,-104.884,39.704
91,"(-104.908, 39.625)",183,False,-104.908,39.625
92,"(-104.882, 39.704)",183,False,-104.882,39.704
94,"(-104.99, 39.763)",181,False,-104.99,39.763
95,"(-104.946, 39.716)",179,False,-104.946,39.716
97,"(-104.958, 39.68)",175,False,-104.958,39.68
98,"(-105.001, 39.756)",173,False,-105.001,39.756
99,"(-104.879, 39.707)",172,False,-104.879,39.707
100,"(-105.001, 39.754)",169,False,-105.001,39.754
101,"(-104.975, 39.729)",169,False,-104.975,39.729
102,"(-105.002, 39.759)",165,False,-105.002,39.759
103,"(-104.921, 39.73)",165,False,-104.921,39.73
104,"(-104.88, 39.654)",162,False,-104.88,39.654
105,"(-104.89, 39.707)",162,False,-104.89,39.707
106,"(-104.961, 39.733)",161,False,-104.961,39.733
111,"(-104.939, 39.732)",157,False,-104.939,39.732
112,"(-104.891, 39.707)",156,False,-104.891,39.707
113,"(-104.883, 39.706)",156,False,-104.883,39.706
114,"(-105.007, 39.754)",156,False,-105.007,39.754
115,"(-104.984, 39.697)",155,False,-104.984,39.697
116,"(-104.898, 39.759)",155,False,-104.898,39.759
