ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,GIS_NOTE,PUD_DOCUMENT,GLOBALID
2010,Commercial Corridor  (CC),SUBURBAN,S-CC,CC,S-CC-3X,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-2,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN EDGE,E-MS,MS,E-MS-3,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN EDGE,E-MS,MS,E-MS-3,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-2,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Commercial Corridor  (CC),SUBURBAN,S-CC,CC,S-CC-3X,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-3,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-5,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),GENERAL URBAN,G-MS,MS,G-MS-3,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Commercial Corridor  (CC),SUBURBAN,S-CC,CC,S-CC-3,Commercial Mixed Use,"UO-1, UO-2",,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-2X,Commercial Mixed Use,,,,,,273,2012,, ,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN EDGE,E-MS,MS,E-MS-2X,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-3,Commercial Mixed Use,,,,,,333,2010,,,,,{00000000-0000-0000-0000-000000000000}
